Date,Open,High,Low,Close,Adj Close,Volume
2011-10-04,88.32,95.220001,84.269997,94.580002,83.245575,12000000
2011-10-05,93.870003,95.540001,90.82,94.290001,82.990326,8455400
2011-10-06,94,98,91.760002,97.93,86.194122,7604000
2011-10-07,98.07,98.07,92.25,92.690002,81.582092,7636900
2011-10-10,94.919998,96.389999,93.949997,96.139999,84.618614,6123500
2011-10-11,94.559998,98.809998,94,96.699997,85.111519,7065300
2011-10-12,98.199997,101.129997,96.389999,99.110001,87.232681,8237900
2011-10-13,97.870003,98.019997,94.519997,96.150002,84.627411,6571500
2011-10-14,96.790001,97.839996,94.650002,96.730003,85.137939,5557400
2011-10-17,95.510002,97.889999,95.169998,96.900002,85.287544,7227800
2011-10-18,98.190002,103.739998,96.550003,102.25,89.996407,16777200
2011-10-19,101.550003,104.940002,100.32,100.790001,88.711365,9959400
